Topologia,KSP(caminos),Ordenamiento,fsMax
usnet.json,k1,ASC,273
usnet.json,k1,ASC,249
usnet.json,k1,ASC,277
usnet.json,k1,ASC,227
usnet.json,k1,ASC,246
usnet.json,k1,ASC,242
usnet.json,k1,ASC,262
usnet.json,k1,ASC,251
usnet.json,k1,ASC,233
usnet.json,k1,ASC,246
usnet.json,k1,ASC,232
usnet.json,k1,ASC,228
usnet.json,k1,ASC,277
usnet.json,k1,ASC,277
usnet.json,k1,ASC,262
usnet.json,k1,ASC,269
usnet.json,k1,ASC,249
usnet.json,k1,ASC,248
usnet.json,k1,ASC,257
usnet.json,k1,ASC,254
usnet.json,k1,DESC,246
usnet.json,k1,DESC,263
usnet.json,k1,DESC,249
usnet.json,k1,DESC,268
usnet.json,k1,DESC,262
usnet.json,k1,DESC,244
usnet.json,k1,DESC,255
usnet.json,k1,DESC,248
usnet.json,k1,DESC,268
usnet.json,k1,DESC,249
usnet.json,k1,DESC,260
usnet.json,k1,DESC,233
usnet.json,k1,DESC,245
usnet.json,k1,DESC,249
usnet.json,k1,DESC,254
usnet.json,k1,DESC,258
usnet.json,k1,DESC,260
usnet.json,k1,DESC,266
usnet.json,k1,DESC,235
usnet.json,k1,DESC,265
usnet.json,k1,RANDOM,235
usnet.json,k1,RANDOM,268
usnet.json,k1,RANDOM,238
usnet.json,k1,RANDOM,238
usnet.json,k1,RANDOM,270
usnet.json,k1,RANDOM,256
usnet.json,k1,RANDOM,244
usnet.json,k1,RANDOM,263
usnet.json,k1,RANDOM,278
usnet.json,k1,RANDOM,249
usnet.json,k1,RANDOM,241
usnet.json,k1,RANDOM,259
usnet.json,k1,RANDOM,250
usnet.json,k1,RANDOM,260
usnet.json,k1,RANDOM,269
usnet.json,k1,RANDOM,239
usnet.json,k1,RANDOM,254
usnet.json,k1,RANDOM,243
usnet.json,k1,RANDOM,248
usnet.json,k1,RANDOM,251
usnet.json,k3,ASC,231
usnet.json,k3,ASC,247
usnet.json,k3,ASC,242
usnet.json,k3,ASC,253
usnet.json,k3,ASC,245
usnet.json,k3,ASC,243
usnet.json,k3,ASC,224
usnet.json,k3,ASC,239
usnet.json,k3,ASC,272
usnet.json,k3,ASC,233
usnet.json,k3,ASC,251
usnet.json,k3,ASC,241
usnet.json,k3,ASC,254
usnet.json,k3,ASC,246
usnet.json,k3,ASC,223
usnet.json,k3,ASC,251
usnet.json,k3,ASC,243
usnet.json,k3,ASC,255
usnet.json,k3,ASC,236
usnet.json,k3,ASC,267
usnet.json,k3,DESC,241
usnet.json,k3,DESC,243
usnet.json,k3,DESC,225
usnet.json,k3,DESC,240
usnet.json,k3,DESC,234
usnet.json,k3,DESC,194
usnet.json,k3,DESC,228
usnet.json,k3,DESC,259
usnet.json,k3,DESC,274
usnet.json,k3,DESC,231
usnet.json,k3,DESC,234
usnet.json,k3,DESC,238
usnet.json,k3,DESC,246
usnet.json,k3,DESC,260
usnet.json,k3,DESC,256
usnet.json,k3,DESC,256
usnet.json,k3,DESC,246
usnet.json,k3,DESC,227
usnet.json,k3,DESC,247
usnet.json,k3,DESC,229
usnet.json,k3,RANDOM,254
usnet.json,k3,RANDOM,243
usnet.json,k3,RANDOM,267
usnet.json,k3,RANDOM,254
usnet.json,k3,RANDOM,227
usnet.json,k3,RANDOM,249
usnet.json,k3,RANDOM,236
usnet.json,k3,RANDOM,253
usnet.json,k3,RANDOM,253
usnet.json,k3,RANDOM,242
usnet.json,k3,RANDOM,238
usnet.json,k3,RANDOM,243
usnet.json,k3,RANDOM,231
usnet.json,k3,RANDOM,252
usnet.json,k3,RANDOM,213
usnet.json,k3,RANDOM,232
usnet.json,k3,RANDOM,254
usnet.json,k3,RANDOM,253
usnet.json,k3,RANDOM,212
usnet.json,k3,RANDOM,264
usnet.json,k5,ASC,267
usnet.json,k5,ASC,235
usnet.json,k5,ASC,239
usnet.json,k5,ASC,247
usnet.json,k5,ASC,243
usnet.json,k5,ASC,238
usnet.json,k5,ASC,245
usnet.json,k5,ASC,202
usnet.json,k5,ASC,206
usnet.json,k5,ASC,249
usnet.json,k5,ASC,236
usnet.json,k5,ASC,230
usnet.json,k5,ASC,274
usnet.json,k5,ASC,256
usnet.json,k5,ASC,246
usnet.json,k5,ASC,220
usnet.json,k5,ASC,248
usnet.json,k5,ASC,222
usnet.json,k5,ASC,228
usnet.json,k5,ASC,205
usnet.json,k5,DESC,279
usnet.json,k5,DESC,232
usnet.json,k5,DESC,257
usnet.json,k5,DESC,274
usnet.json,k5,DESC,205
usnet.json,k5,DESC,232
usnet.json,k5,DESC,214
usnet.json,k5,DESC,246
usnet.json,k5,DESC,232
usnet.json,k5,DESC,257
usnet.json,k5,DESC,231
usnet.json,k5,DESC,244
usnet.json,k5,DESC,233
usnet.json,k5,DESC,242
usnet.json,k5,DESC,279
usnet.json,k5,DESC,250
usnet.json,k5,DESC,243
usnet.json,k5,DESC,223
usnet.json,k5,DESC,242
usnet.json,k5,DESC,269
usnet.json,k5,RANDOM,262
usnet.json,k5,RANDOM,234
usnet.json,k5,RANDOM,253
usnet.json,k5,RANDOM,235
usnet.json,k5,RANDOM,248
usnet.json,k5,RANDOM,227
usnet.json,k5,RANDOM,249
usnet.json,k5,RANDOM,208
usnet.json,k5,RANDOM,253
usnet.json,k5,RANDOM,270
usnet.json,k5,RANDOM,234
usnet.json,k5,RANDOM,247
usnet.json,k5,RANDOM,263
usnet.json,k5,RANDOM,263
usnet.json,k5,RANDOM,216
usnet.json,k5,RANDOM,252
usnet.json,k5,RANDOM,267
usnet.json,k5,RANDOM,243
usnet.json,k5,RANDOM,226
usnet.json,k5,RANDOM,261
usnetv2.json,k1,ASC,266
usnetv2.json,k1,ASC,244
usnetv2.json,k1,ASC,288
usnetv2.json,k1,ASC,264
usnetv2.json,k1,ASC,233
usnetv2.json,k1,ASC,255
usnetv2.json,k1,ASC,257
usnetv2.json,k1,ASC,271
usnetv2.json,k1,ASC,276
usnetv2.json,k1,ASC,240
usnetv2.json,k1,ASC,245
usnetv2.json,k1,ASC,225
usnetv2.json,k1,ASC,268
usnetv2.json,k1,ASC,260
usnetv2.json,k1,ASC,254
usnetv2.json,k1,ASC,266
usnetv2.json,k1,ASC,251
usnetv2.json,k1,ASC,262
usnetv2.json,k1,ASC,268
usnetv2.json,k1,ASC,258
usnetv2.json,k1,DESC,249
usnetv2.json,k1,DESC,256
usnetv2.json,k1,DESC,238
usnetv2.json,k1,DESC,259
